taget,rssi,A1,P1,A2,P2,A3,P3,A4,P4,A5,P5,A6,P6,A7,P7,A8,P8,A9,P9,A10,P10,A11,P11,A12,P12,A13,P13,A14,P14,A15,P15,A16,P16,A17,P17,A18,P18,A19,P19,A20,P20,A21,P21,A22,P22,A23,P23,A24,P24,A25,P25,A26,P26,A27,P27,A28,P28,A29,P29,A30,P30,A31,P31,A32,P32,A33,P33,A34,P34,A35,P35,A36,P36,A37,P37,A38,P38,A39,P39,A40,P40,A41,P41,A42,P42,A43,P43,A44,P44,A45,P45,A46,P46,A47,P47,A48,P48,A49,P49,A50,P50,A51,P51,A52,P52
applause,-76,-3,-11,-3,-11,-4,-12,-4,-12,-4,-11,-4,-10,-4,-10,-4,-9,-5,-10,-5,-10,-5,-10,-6,-10,-6,-10,-5,-10,-5,-10,-6,-10,-7,-9,-7,-8,-7,-8,-7,-8,-6,-9,-6,-8,-7,-8,-8,-8,-8,-8,-7,-8,-8,-8,-8,-8,-9,-8,-10,-8,-10,-9,-10,-8,-9,-9,-9,-9,-9,-9,-9,-9,-10,-9,-10,-9,-10,-9,-10,-10,-10,-10,-11,-10,-11,-11,-10,-11,-8,-11,-8,-11,-9,-11,-8,-11,-8,-12,-7,-12,-7,-12,-7,-12
applause,-76,13,3,12,3,12,2,11,2,11,2,11,2,12,1,12,1,11,1,11,1,12,1,12,1,12,0,11,0,11,0,12,-1,12,-2,10,-2,9,-2,9,-1,10,-1,10,-1,10,-2,11,-2,12,-3,12,-3,11,-3,11,-3,12,-4,12,-4,12,-4,12,-4,12,-3,13,-3,13,-4,14,-4,14,-3,13,-2,13,-3,14,-3,15,-3,15,-3,15,-3,15,-2,15,-1,15,0,15,0,14,1,13,1,14,1,15,2,16,2
applause,-75,-6,11,-5,11,-4,10,-4,10,-5,10,-5,10,-4,9,-4,10,-4,10,-3,11,-2,10,-1,11,-1,11,-2,9,-2,9,-1,10,-1,9,-1,9,-1,9,-1,9,0,10,0,10,0,10,0,11,0,11,0,10,1,12,1,12,1,12,1,12,1,11,1,12,2,12,1,12,1,12,2,12,2,12,1,12,1,13,0,13,0,14,0,14,1,14,0,14,-1,13,-1,14,-2,14,-3,14,-3,15,-3,16,-2,13,-3,12
applause,-75,3,-13,2,-12,2,-13,2,-13,2,-12,1,-11,0,-11,0,-12,-1,-13,-1,-14,0,-13,-1,-13,-1,-13,-1,-12,-1,-12,-2,-12,-3,-12,-4,-10,-4,-10,-3,-10,-4,-11,-4,-11,-4,-11,-4,-11,-5,-12,-5,-12,-7,-11,-6,-13,-6,-13,-7,-12,-7,-12,-7,-12,-7,-12,-7,-12,-7,-12,-8,-12,-7,-12,-7,-12,-7,-13,-7,-13,-7,-13,-7,-14,-7,-15,-7,-14,-6,-14,-5,-14,-5,-15,-5,-15,-5,-16,-5,-16,-4,-15,-4,-14
applause,-75,7,9,8,9,8,9,8,9,8,9,8,8,9,8,8,8,8,7,8,6,9,6,9,6,9,6,8,6,9,6,9,6,10,4,9,4,9,4,8,5,9,5,10,4,10,4,11,4,12,5,11,4,12,3,12,3,13,3,13,3,12,3,12,3,12,3,12,3,13,2,13,3,13,3,13,3,14,3,14,4,15,4,14,4,14,5,13,5,13,5,13,6,13,6,13,6,13,6,13,6,13,7,13,9
applause,-75,0,12,1,13,1,13,1,13,2,13,2,12,1,11,1,11,2,11,2,11,3,11,4,12,4,12,3,11,4,10,5,10,5,10,5,10,5,9,5,10,5,10,5,9,6,9,6,9,7,9,6,9,7,8,7,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,10,9,10,9,9,9,8,9,8,9,10,10,11,11,11,11,9,12,8,12,8,11,8,11,8,11,8,13,7,13,6,12,6,11
applause,-74,-14,-6,-14,-6,-15,-5,-15,-5,-14,-4,-14,-4,-14,-4,-14,-4,-14,-3,-15,-3,-15,-3,-15,-2,-14,-2,-12,-2,-12,-2,-14,-1,-14,0,-14,1,-13,1,-13,1,-13,1,-13,1,-14,1,-14,1,-14,1,-14,0,-15,3,-14,4,-14,4,-14,4,-14,4,-14,4,-14,4,-15,4,-17,4,-18,4,-17,4,-15,4,-15,3,-16,4,-17,5,-18,4,-17,3,-17,3,-17,3,-18,2,-17,1,-17,1,-18,0,-18,-2,-17,-2,-16,-2
applause,-75,3,-15,3,-15,3,-15,2,-15,2,-15,2,-14,1,-14,1,-14,0,-14,-1,-15,-1,-15,-2,-15,-2,-15,-1,-14,-2,-13,-2,-13,-2,-13,-2,-12,-3,-12,-3,-13,-3,-14,-2,-13,-3,-12,-5,-13,-6,-14,-5,-14,-6,-13,-6,-14,-6,-14,-6,-14,-6,-14,-7,-14,-7,-14,-7,-14,-6,-14,-7,-14,-7,-15,-6,-15,-6,-16,-7,-16,-7,-16,-7,-16,-7,-17,-6,-17,-4,-17,-4,-17,-4,-16,-4,-16,-4,-17,-4,-17,-3,-17,-2,-17
applause,-75,8,-10,7,-10,7,-11,7,-11,7,-11,6,-10,6,-10,6,-10,6,-10,6,-11,6,-11,6,-12,5,-11,4,-11,4,-11,3,-12,2,-11,2,-11,2,-11,2,-12,2,-12,2,-12,2,-12,1,-12,1,-13,2,-12,0,-13,1,-14,1,-14,1,-14,1,-13,0,-14,0,-14,0,-14,0,-15,0,-15,1,-15,1,-15,1,-15,1,-15,1,-16,1,-17,2,-17,3,-16,3,-15,4,-15,4,-15,4,-15,4,-15,5,-15,5,-14,5,-14
applause,-75,-12,-4,-12,-4,-13,-3,-13,-3,-12,-3,-12,-3,-12,-2,-12,-2,-11,-2,-12,-1,-12,-1,-13,0,-13,0,-12,0,-12,0,-12,0,-12,1,-12,1,-12,1,-12,0,-11,0,-11,0,-11,1,-12,2,-12,2,-13,2,-13,3,-13,2,-13,3,-13,4,-13,4,-13,3,-14,4,-14,3,-13,3,-13,4,-13,4,-13,4,-13,3,-14,3,-15,3,-16,4,-17,4,-17,4,-16,3,-15,1,-15,0,-15,0,-14,0,-15,1,-15,0,-15,-1
applause,-74,11,-8,11,-9,12,-10,12,-9,12,-9,11,-8,11,-9,10,-9,10,-10,10,-10,10,-10,9,-10,9,-11,8,-10,8,-9,8,-10,8,-11,7,-11,6,-11,6,-10,6,-11,6,-11,6,-12,5,-12,6,-12,7,-12,5,-14,6,-15,6,-15,5,-15,5,-14,5,-15,5,-15,6,-15,6,-15,7,-15,7,-15,6,-15,6,-15,8,-15,8,-16,8,-16,9,-16,9,-16,9,-15,10,-15,9,-14,10,-14,11,-15,11,-14,11,-13,11,-13
applause,-74,12,3,13,2,13,1,12,1,12,1,12,1,11,0,11,0,12,-1,12,-1,12,-1,12,-2,12,-2,11,-2,11,-3,11,-4,11,-4,10,-4,10,-4,10,-4,10,-4,10,-4,10,-4,11,-5,11,-5,11,-5,11,-7,12,-7,12,-7,11,-7,11,-7,11,-7,12,-7,12,-7,12,-8,13,-8,13,-8,12,-7,12,-7,13,-7,14,-7,14,-8,14,-8,14,-7,15,-6,15,-6,14,-5,15,-5,15,-4,15,-4,15,-4,15,-3
applause,-74,2,13,2,12,2,13,2,13,1,12,2,12,2,11,2,11,3,11,3,11,4,11,4,12,4,12,3,11,4,10,5,10,6,9,6,9,6,9,5,10,5,10,5,10,6,9,7,9,7,10,7,10,9,11,9,11,9,10,9,10,9,10,9,10,8,10,9,10,8,10,9,10,9,10,9,10,8,11,8,12,9,12,9,12,9,13,9,13,8,13,7,13,7,14,7,14,6,15,6,15,5,14,5,14
applause,-73,-8,-11,-9,-11,-9,-10,-9,-11,-9,-10,-9,-10,-9,-9,-9,-8,-9,-9,-9,-9,-10,-9,-10,-9,-10,-8,-9,-8,-9,-7,-10,-7,-11,-6,-10,-6,-10,-6,-10,-6,-9,-6,-10,-6,-11,-5,-12,-5,-12,-6,-12,-6,-12,-3,-13,-4,-14,-4,-14,-4,-13,-5,-13,-5,-13,-5,-13,-5,-14,-5,-14,-5,-14,-6,-13,-6,-13,-6,-14,-6,-14,-7,-14,-6,-14,-6,-14,-7,-14,-7,-14,-8,-15,-7,-14,-8,-13,-9,-13,-10,-13,-10,-12,-10
applause,-73,-8,-12,-9,-12,-10,-12,-10,-12,-9,-12,-9,-11,-10,-11,-10,-11,-10,-10,-10,-10,-10,-10,-11,-10,-11,-9,-10,-9,-10,-9,-12,-9,-12,-8,-11,-8,-10,-7,-10,-7,-10,-7,-11,-7,-12,-6,-13,-6,-13,-6,-13,-7,-13,-6,-14,-6,-14,-6,-14,-6,-14,-7,-14,-7,-14,-6,-14,-6,-16,-6,-16,-6,-15,-6,-14,-7,-14,-7,-14,-7,-15,-8,-15,-8,-16,-9,-16,-9,-15,-9,-15,-9,-14,-10,-14,-11,-14,-13,-13,-13,-12,-12,-12,-11
applause,-74,14,-3,13,-4,13,-6,13,-6,12,-5,11,-5,11,-5,12,-5,12,-6,12,-6,11,-6,11,-6,10,-7,10,-7,10,-8,10,-9,9,-9,9,-8,8,-9,8,-9,8,-9,8,-10,9,-10,8,-11,8,-10,9,-10,8,-12,8,-12,8,-12,8,-13,8,-12,8,-12,8,-13,8,-13,8,-13,9,-14,9,-13,8,-13,8,-13,9,-13,9,-13,10,-14,10,-14,10,-13,11,-13,11,-13,11,-12,11,-12,12,-12,12,-11,13,-10,13,-9
applause,-74,-4,12,-3,12,-3,13,-4,13,-4,13,-4,13,-3,12,-2,11,-2,11,-2,11,-2,12,-1,12,-1,13,-1,12,0,12,1,12,2,12,2,11,2,12,1,11,1,11,1,11,2,11,3,12,3,13,2,13,4,12,4,13,4,13,5,12,5,12,4,13,4,14,5,14,5,13,5,13,4,13,4,14,4,14,4,14,5,15,5,15,5,16,5,16,4,16,3,16,3,15,2,15,1,16,1,16,1,16,1,16
applause,-74,-9,8,-9,8,-8,9,-8,9,-8,9,-8,8,-7,8,-7,8,-7,9,-7,9,-7,10,-6,10,-6,10,-5,10,-5,10,-5,10,-5,9,-4,9,-4,9,-4,9,-4,9,-4,9,-3,9,-2,10,-2,11,-3,10,-2,10,-2,12,-2,12,-2,12,-3,11,-3,11,-2,12,-2,13,-2,13,-3,13,-3,13,-2,13,-2,12,-3,13,-4,13,-4,14,-5,14,-5,14,-6,13,-6,12,-7,12,-7,13,-7,13,-7,13,-7,13,-8,13
applause,-74,9,-12,8,-12,8,-13,8,-13,7,-12,7,-11,7,-12,7,-12,6,-12,6,-12,5,-13,5,-13,4,-14,4,-13,4,-13,3,-13,2,-13,2,-12,1,-13,2,-13,2,-13,3,-13,2,-13,0,-14,0,-14,1,-15,1,-15,1,-16,0,-17,-1,-16,-1,-15,-1,-15,-1,-15,-1,-16,-1,-17,0,-17,-1,-17,-2,-17,-2,-18,-1,-18,0,-18,0,-18,0,-18,1,-18,1,-17,2,-17,3,-18,3,-17,3,-17,3,-18,4,-18,5,-18
applause,-75,12,2,12,2,12,2,12,2,11,2,11,2,11,2,11,1,11,0,12,0,12,0,12,-1,11,-1,10,-1,10,-1,11,-2,11,-3,10,-3,10,-3,10,-2,11,-2,11,-2,11,-3,10,-4,11,-4,12,-3,12,-4,12,-4,13,-5,13,-5,12,-4,12,-5,12,-5,12,-5,13,-5,14,-5,14,-5,14,-5,14,-4,15,-4,15,-4,16,-4,16,-4,16,-4,15,-3,15,-3,15,-2,15,-2,15,-1,15,0,15,0,15,0
applause,-75,-12,2,-13,3,-12,3,-12,3,-11,3,-11,3,-11,3,-11,3,-11,4,-11,4,-12,4,-12,5,-11,5,-10,5,-10,5,-10,6,-9,7,-9,6,-9,6,-9,6,-9,7,-9,7,-8,7,-8,8,-9,8,-10,7,-9,9,-9,9,-9,10,-9,10,-9,10,-8,10,-8,10,-9,9,-10,10,-11,10,-11,10,-10,10,-10,11,-11,10,-12,10,-13,11,-12,11,-12,10,-12,9,-12,8,-13,8,-14,8,-14,8,-14,8,-14,7,-14,6
applause,-74,-3,-12,-3,-11,-4,-12,-4,-12,-4,-12,-4,-12,-4,-11,-4,-11,-5,-10,-5,-11,-6,-11,-6,-11,-6,-10,-6,-9,-6,-9,-7,-9,-8,-9,-7,-8,-7,-8,-7,-9,-8,-9,-9,-8,-9,-8,-10,-8,-9,-9,-9,-9,-11,-8,-11,-8,-12,-8,-12,-8,-12,-7,-12,-8,-11,-7,-11,-7,-12,-7,-12,-7,-12,-8,-13,-8,-13,-9,-13,-9,-13,-9,-13,-10,-13,-10,-13,-10,-12,-10,-12,-10,-12,-11,-11,-11,-12,-11,-12,-11,-11,-11,-10,-11
applause,-75,4,-12,3,-13,2,-14,2,-14,2,-13,2,-12,1,-12,0,-13,0,-12,0,-12,0,-13,0,-14,-1,-14,-1,-13,-1,-12,-2,-12,-3,-12,-3,-11,-3,-11,-3,-11,-3,-12,-3,-12,-4,-12,-5,-13,-5,-13,-5,-13,-8,-12,-7,-13,-7,-13,-7,-13,-6,-13,-6,-13,-7,-14,-7,-14,-7,-14,-7,-14,-7,-15,-7,-15,-7,-15,-8,-15,-7,-16,-7,-17,-7,-17,-6,-16,-4,-16,-4,-18,-4,-18,-3,-18,-3,-18,-3,-17,-3,-17,-3,-16
applause,-75,11,-7,10,-8,10,-10,10,-9,9,-8,8,-8,8,-9,8,-9,7,-9,7,-10,7,-10,7,-10,7,-10,7,-10,6,-10,6,-11,5,-12,4,-11,3,-10,3,-10,4,-11,4,-11,4,-11,4,-12,4,-13,4,-12,4,-14,4,-14,4,-15,3,-14,3,-14,3,-14,3,-15,4,-16,4,-16,4,-15,4,-15,4,-16,4,-16,5,-16,6,-16,6,-17,6,-17,6,-16,7,-16,8,-16,9,-15,10,-15,10,-16,10,-15,10,-14,10,-14
applause,-75,11,0,11,0,12,-1,12,-1,11,-1,11,-1,10,-2,10,-2,11,-2,10,-3,10,-4,10,-4,10,-4,9,-3,9,-4,9,-5,9,-6,9,-7,8,-6,8,-6,9,-6,9,-6,9,-7,8,-7,9,-7,9,-6,9,-9,9,-10,9,-10,8,-10,8,-10,8,-10,8,-10,9,-10,10,-11,10,-11,9,-11,9,-11,8,-11,9,-11,10,-11,11,-12,11,-11,10,-10,11,-10,12,-10,12,-9,12,-9,13,-9,14,-9,13,-8,13,-8
applause,-75,-5,11,-5,12,-4,13,-4,12,-3,11,-3,10,-4,10,-3,11,-2,11,-2,12,-2,12,-1,13,0,12,0,11,0,11,1,12,1,12,1,11,1,11,1,12,1,11,2,11,2,11,3,12,3,12,2,12,3,13,4,14,4,14,4,13,4,13,4,13,4,14,5,14,5,14,5,15,4,15,3,15,4,15,3,15,3,16,3,17,3,17,3,17,2,17,0,17,-1,18,0,17,0,17,-1,18,-1,18,-2,18
applause,-75,-6,-11,-5,-10,-5,-10,-6,-10,-7,-10,-7,-10,-7,-10,-7,-10,-6,-9,-7,-9,-9,-9,-9,-9,-8,-8,-8,-8,-8,-9,-9,-9,-9,-7,-9,-6,-9,-7,-9,-7,-9,-7,-9,-7,-9,-6,-10,-6,-11,-7,-11,-7,-12,-6,-12,-7,-13,-6,-13,-6,-12,-6,-12,-6,-12,-7,-13,-7,-13,-6,-14,-6,-14,-6,-13,-6,-13,-7,-14,-7,-14,-8,-14,-9,-14,-9,-15,-9,-14,-10,-14,-10,-13,-10,-12,-11,-12,-12,-12,-11,-12,-11,-12,-12
applause,-75,12,0,12,0,12,-1,13,-2,12,-2,12,-3,11,-3,12,-3,12,-3,11,-4,12,-4,12,-5,11,-5,10,-4,11,-4,12,-6,11,-7,10,-7,10,-7,10,-6,10,-7,10,-7,9,-8,10,-9,11,-9,11,-9,11,-11,11,-11,11,-11,11,-11,10,-11,10,-10,10,-11,10,-11,11,-12,11,-13,11,-13,11,-12,12,-11,12,-11,13,-12,13,-12,14,-13,15,-12,15,-11,14,-11,14,-11,15,-10,16,-10,16,-10,16,-9,16,-8
applause,-74,-12,2,-12,2,-12,3,-12,3,-11,2,-12,3,-11,3,-11,3,-11,3,-11,4,-12,5,-12,5,-11,5,-11,5,-10,5,-11,5,-11,6,-10,6,-10,7,-10,6,-10,6,-9,6,-9,7,-9,9,-9,9,-10,8,-9,9,-10,9,-10,9,-9,10,-9,10,-10,10,-10,10,-11,10,-11,10,-11,10,-11,11,-11,11,-11,11,-11,10,-12,10,-12,11,-12,11,-13,10,-14,9,-14,8,-14,7,-13,7,-13,9,-14,9,-14,8,-14,7
applause,-75,-3,-12,-4,-13,-4,-13,-4,-13,-3,-12,-4,-12,-6,-12,-6,-11,-5,-10,-6,-10,-7,-11,-7,-11,-7,-10,-6,-10,-7,-10,-8,-10,-9,-10,-8,-10,-8,-9,-8,-9,-8,-10,-8,-9,-9,-9,-9,-8,-9,-9,-9,-10,-11,-9,-11,-9,-12,-9,-12,-8,-11,-9,-12,-9,-12,-9,-12,-8,-12,-8,-12,-9,-12,-10,-12,-10,-12,-10,-12,-10,-13,-11,-13,-11,-13,-12,-12,-12,-11,-12,-11,-12,-10,-12,-10,-12,-11,-13,-11,-13,-10,-13,-10,-13
applause,-74,-1,-13,-2,-14,-2,-14,-3,-15,-3,-13,-3,-13,-3,-13,-4,-13,-4,-13,-4,-13,-4,-13,-5,-13,-5,-12,-5,-11,-6,-11,-7,-12,-7,-11,-7,-10,-8,-10,-8,-11,-8,-10,-8,-11,-8,-11,-8,-11,-8,-12,-8,-12,-10,-10,-11,-11,-11,-11,-12,-11,-11,-10,-11,-10,-12,-10,-12,-11,-12,-11,-12,-12,-11,-13,-11,-13,-11,-13,-11,-13,-12,-14,-13,-14,-12,-15,-10,-14,-10,-13,-11,-13,-11,-14,-10,-15,-10,-16,-9,-16,-8,-16,-9,-16
applause,-75,-2,-15,-2,-14,-3,-14,-4,-14,-3,-13,-3,-13,-4,-13,-4,-12,-4,-12,-4,-12,-4,-13,-5,-13,-6,-13,-6,-12,-6,-11,-7,-11,-7,-10,-7,-9,-7,-10,-8,-10,-9,-10,-9,-10,-10,-10,-10,-10,-10,-11,-9,-11,-10,-8,-11,-9,-13,-9,-13,-8,-12,-8,-12,-8,-13,-9,-13,-9,-14,-10,-13,-10,-13,-9,-13,-10,-13,-10,-13,-10,-13,-11,-14,-11,-14,-11,-13,-11,-12,-11,-12,-11,-13,-11,-13,-12,-13,-13,-12,-14,-12,-14,-11,-14
applause,-75,1,11,2,11,2,11,2,11,2,11,2,10,2,10,3,9,3,9,3,10,4,10,4,9,4,9,3,9,4,8,5,8,5,8,6,8,5,8,5,8,5,9,6,8,6,8,6,8,7,8,7,8,8,7,8,8,8,8,8,8,8,8,8,9,8,9,8,9,9,8,9,9,9,9,9,8,8,9,8,9,9,10,9,11,9,11,8,10,8,11,8,11,7,12,7,13,8,13,8,13,7,13,6,13
applause,-75,1,10,0,10,1,10,1,10,2,10,1,9,2,9,2,9,2,9,3,9,3,9,3,9,3,9,3,8,3,8,3,8,4,7,4,7,4,7,3,7,3,8,4,7,4,7,5,7,5,8,5,8,5,8,6,8,7,8,7,7,7,7,6,7,6,8,6,7,7,8,7,8,6,9,6,9,6,9,7,9,7,10,7,11,7,11,7,11,6,11,6,11,5,11,4,11,3,12,3,12,4,12,3,12
applause,-75,12,4,11,3,12,3,13,2,12,2,12,2,11,2,11,2,11,1,12,1,12,1,12,0,12,0,10,0,10,0,11,-2,11,-3,10,-3,10,-3,9,-2,10,-2,10,-2,10,-2,11,-3,11,-2,11,-2,12,-4,12,-4,12,-5,12,-6,11,-5,11,-4,12,-4,12,-4,12,-6,14,-6,14,-5,13,-4,12,-4,13,-5,14,-5,14,-5,15,-4,15,-4,14,-4,15,-3,15,-3,15,-2,15,-1,14,0,14,1,15,2
applause,-76,11,5,11,4,12,3,12,3,11,4,10,4,10,4,10,3,10,3,11,2,12,1,12,0,11,1,10,1,10,1,12,0,12,-1,11,-2,10,-1,10,-1,11,0,11,0,11,-1,11,-2,11,-2,11,-2,12,-3,12,-3,12,-4,11,-4,11,-4,11,-4,12,-4,12,-4,13,-5,14,-5,14,-5,12,-4,12,-3,13,-3,14,-3,15,-3,14,-2,15,-2,15,-1,16,-1,16,0,15,0,14,0,14,1,15,0,16,1
applause,-75,-5,10,-4,10,-3,11,-4,12,-4,11,-4,10,-3,10,-3,10,-2,10,-2,10,-1,11,-1,11,-1,11,0,10,0,10,0,10,0,10,0,10,0,9,0,10,0,10,1,10,2,10,2,10,2,10,1,10,3,10,3,11,3,11,3,11,3,10,2,11,3,12,4,11,4,11,3,12,3,12,3,12,3,12,3,13,3,13,3,13,2,13,2,13,1,13,0,14,0,14,0,13,0,13,-1,13,-1,13,-2,14
applause,-75,-14,-6,-13,-4,-13,-4,-13,-4,-13,-4,-13,-4,-13,-4,-13,-4,-13,-4,-13,-3,-14,-3,-14,-2,-13,-2,-12,-2,-12,-1,-13,-1,-13,0,-11,0,-11,0,-11,-1,-12,-2,-12,-1,-13,0,-13,0,-13,0,-13,0,-14,0,-14,0,-14,0,-14,1,-14,1,-14,1,-14,1,-14,0,-14,0,-15,0,-15,0,-15,-1,-15,-1,-16,-1,-16,-1,-17,-2,-18,-2,-18,-3,-17,-3,-17,-5,-16,-5,-15,-5,-14,-5,-15,-6,-16,-7,-16,-8
applause,-75,10,6,11,6,10,4,10,4,9,5,10,5,10,5,10,4,9,4,9,3,10,3,11,2,11,2,11,2,11,3,11,2,11,2,9,2,9,2,9,1,10,2,9,2,8,1,9,0,11,-1,11,-1,11,-1,12,0,13,-1,12,-2,11,-1,12,0,13,0,13,0,13,0,11,-1,12,-1,13,-2,14,-2,14,0,14,1,14,1,13,1,14,1,14,3,14,4,14,4,13,4,14,3,15,1,16,1,16,2
applause,-74,11,-4,11,-4,12,-5,12,-6,11,-6,10,-5,11,-5,10,-5,10,-6,10,-6,10,-7,10,-7,9,-6,9,-6,9,-7,9,-7,9,-8,7,-8,7,-8,7,-8,7,-7,7,-8,7,-8,7,-9,7,-9,8,-9,7,-10,7,-11,7,-10,6,-10,6,-11,7,-10,7,-11,7,-11,7,-11,8,-12,8,-12,7,-12,8,-12,9,-12,9,-12,10,-12,10,-13,11,-12,11,-11,11,-11,11,-10,11,-9,11,-9,11,-10,11,-10,12,-9
applause,-75,-4,13,-3,13,-3,13,-4,13,-3,12,-3,11,-2,11,-1,11,-1,11,-1,12,-1,12,-1,13,-1,12,0,11,0,11,1,12,2,11,2,10,2,10,2,11,2,11,2,11,3,11,3,11,3,11,3,11,6,11,5,12,5,12,5,12,6,11,5,11,5,12,6,12,6,11,6,12,5,13,5,12,5,12,5,12,6,12,6,14,6,15,5,15,5,14,4,14,4,14,2,15,2,15,3,15,3,15,2,14
applause,-74,1,12,1,13,2,13,1,13,1,12,2,11,2,10,2,11,3,11,4,11,4,11,5,11,4,11,4,11,4,10,6,11,6,10,6,9,6,9,6,10,6,10,7,9,7,9,7,9,7,9,6,9,9,8,8,10,9,10,9,9,8,9,8,10,9,10,9,10,10,10,10,10,10,10,10,10,9,10,9,11,10,11,10,11,10,12,9,13,9,13,9,13,8,13,8,12,8,12,7,13,6,12,7,12
applause,-74,-10,8,-10,9,-10,10,-10,10,-9,10,-9,9,-9,9,-8,9,-8,9,-8,9,-8,10,-8,10,-7,11,-7,10,-6,10,-5,11,-5,11,-4,11,-5,11,-5,10,-5,11,-4,11,-4,11,-3,11,-3,12,-4,12,-2,13,-3,13,-3,13,-2,13,-2,13,-2,13,-2,13,-3,14,-3,14,-3,14,-3,14,-2,14,-2,14,-2,14,-2,15,-2,15,-2,15,-3,15,-4,15,-5,15,-4,15,-4,15,-5,15,-6,14,-7,14,-8,13
applause,-74,-13,-5,-13,-5,-14,-4,-13,-5,-13,-5,-13,-5,-13,-5,-13,-4,-13,-4,-13,-4,-13,-3,-13,-2,-13,-2,-12,-2,-12,-2,-13,-2,-13,-1,-12,-1,-11,-1,-12,-2,-12,-2,-13,-1,-13,0,-13,1,-13,1,-14,1,-12,1,-13,1,-14,1,-14,1,-14,0,-14,0,-14,0,-14,1,-15,0,-17,1,-16,1,-15,1,-15,1,-15,0,-16,-1,-17,-1,-17,-1,-16,-1,-15,-3,-16,-4,-16,-4,-16,-4,-16,-4,-16,-5,-15,-5,-14,-5
applause,-74,-5,-14,-5,-14,-6,-14,-6,-14,-5,-14,-5,-13,-6,-12,-6,-12,-6,-12,-6,-11,-7,-11,-8,-11,-7,-11,-6,-11,-7,-11,-8,-11,-8,-10,-7,-9,-7,-9,-7,-9,-7,-10,-8,-10,-8,-9,-9,-9,-10,-10,-10,-10,-11,-9,-11,-9,-12,-9,-11,-9,-10,-10,-10,-10,-11,-9,-11,-8,-12,-9,-12,-10,-11,-10,-11,-10,-10,-10,-11,-11,-12,-12,-12,-12,-12,-11,-11,-11,-11,-12,-11,-12,-10,-13,-9,-13,-9,-14,-9,-14,-8,-14,-8,-14
applause,-74,10,4,10,3,11,3,10,3,10,3,10,3,10,3,10,2,10,2,10,1,11,1,11,1,11,1,10,1,9,1,10,0,10,0,10,-1,9,0,9,0,9,1,10,0,10,0,10,-1,10,0,11,0,10,-2,11,-2,12,-2,11,-3,11,-2,11,-1,11,-1,11,-1,12,-2,13,-1,13,-1,12,-1,12,-1,12,-1,13,0,14,0,14,-1,14,0,13,0,12,1,12,2,12,2,12,3,13,3,13,3,13,3
applause,-74,8,10,8,10,9,9,9,8,8,8,8,8,8,8,9,9,8,8,8,7,9,7,10,7,9,6,8,6,8,6,9,6,9,6,9,5,9,4,9,5,9,5,9,5,10,5,10,5,11,5,11,5,11,6,11,5,12,5,12,5,11,5,11,5,11,4,12,5,12,5,12,5,12,5,11,5,11,5,12,5,12,7,13,8,13,8,12,8,12,9,12,9,11,10,11,10,11,10,11,10,12,11,11,11
applause,-74,-12,-7,-12,-7,-13,-6,-12,-6,-12,-6,-12,-6,-12,-5,-12,-4,-12,-4,-13,-4,-13,-4,-13,-4,-13,-4,-13,-3,-12,-3,-13,-3,-13,-2,-12,-1,-11,-1,-12,-1,-12,-1,-12,-1,-13,-1,-13,-1,-13,-2,-13,-2,-13,0,-14,0,-14,1,-14,1,-13,1,-14,2,-14,2,-14,1,-15,1,-16,1,-15,1,-15,1,-15,0,-15,0,-16,0,-17,0,-18,0,-17,-1,-16,-1,-16,-2,-16,-2,-17,-2,-17,-2,-17,-3,-16,-4,-16,-4
applause,-74,-9,9,-8,10,-8,11,-8,10,-8,10,-8,10,-8,10,-7,10,-7,11,-6,11,-6,11,-5,11,-5,10,-5,10,-4,10,-4,11,-4,11,-3,10,-2,11,-2,11,-2,10,-3,10,-3,11,-2,11,-2,11,-2,11,-1,11,-1,12,0,13,0,14,0,13,0,13,0,13,1,13,1,14,0,15,0,15,0,14,0,14,0,14,0,15,-1,16,-2,16,-2,16,-2,16,-2,15,-3,15,-3,15,-4,16,-4,17,-5,16,-6,15
applause,-74,-10,-11,-10,-10,-11,-10,-11,-10,-10,-9,-10,-8,-11,-8,-12,-8,-11,-8,-12,-7,-12,-7,-12,-7,-12,-6,-11,-6,-11,-5,-12,-5,-13,-4,-12,-4,-12,-4,-11,-4,-11,-4,-12,-3,-12,-3,-12,-3,-13,-4,-14,-4,-14,-1,-14,-2,-15,-2,-15,-1,-13,-1,-13,-2,-13,-1,-14,-1,-16,0,-16,0,-16,-1,-15,-2,-15,-2,-16,-2,-17,-2,-18,-1,-18,-1,-17,-1,-17,-2,-16,-3,-16,-4,-16,-4,-16,-6,-16,-6,-16,-6,-15,-6
applause,-74,-12,-5,-12,-5,-12,-5,-12,-4,-12,-4,-12,-4,-12,-4,-12,-3,-12,-3,-12,-2,-12,-1,-12,-1,-12,-2,-12,-2,-12,-1,-12,0,-12,1,-11,1,-11,1,-11,1,-11,1,-11,1,-11,2,-11,2,-12,2,-12,1,-13,3,-13,3,-13,3,-12,4,-12,3,-12,3,-13,3,-13,4,-14,4,-14,4,-14,4,-13,3,-13,3,-14,3,-15,3,-15,3,-15,3,-15,2,-15,2,-15,2,-15,1,-15,0,-15,0,-15,-1,-15,-1,-15,-2
